id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Dreams,Synth Pulse,electronic,energetic,0.88,128,0.85,0.91,0.12
12,Silent Rain,Acoustic Drift,indie,melancholic,0.32,75,0.52,0.48,0.88
13,Bass Drop,Electro Masters,electronic,energetic,0.95,140,0.80,0.94,0.08
14,Sunset Fields,Folk Wanderers,folk,peaceful,0.36,85,0.72,0.65,0.91
15,Rage Furnace,Metal Thunder,metal,aggressive,0.97,165,0.35,0.71,0.12
16,Golden Hours,Soul Groove,soul,romantic,0.68,105,0.79,0.81,0.45
17,Street Vibes,Hip Hop Kings,hip-hop,confident,0.72,95,0.68,0.86,0.28
18,Violin Dreams,Classical Essence,classical,melancholic,0.25,65,0.50,0.35,0.94
19,Island Breeze,Reggae Vibes,reggae,peaceful,0.55,96,0.76,0.78,0.52
20,Electric Heart,Indie Surge,indie,energetic,0.85,130,0.83,0.87,0.30
